,0
645,17407
646,17408
647,17409
648,17424
649,17425
650,17426
651,17427
652,17444
653,17445
654,17456
655,17471
656,17473
657,17474
658,17476
659,17480
660,17482
661,17497
662,17498
663,17500
664,17553
665,17571
666,17573
667,17887
668,17894
669,17898
670,17909
671,17911
672,17912
673,17914
674,17918
675,17919
676,17920
677,17933
678,17935
679,17936
680,17937
681,17938
682,17956
683,17957
684,17967
685,17982
686,17984
687,17985
688,17987
689,17991
690,17992
691,17993
692,18008
693,18009
694,18010
695,18011
696,18057
697,18058
698,18064
699,18082
700,18084
701,18401
702,18406
703,18413
704,18415
705,18416
706,18418
707,18422
708,18423
709,18425
710,18429
711,18431
712,18432
713,18433
714,18434
715,18447
716,18448
717,18449
718,18467
719,18479
720,18489
721,18491
722,18496
723,18502
724,18505
725,18520
726,18521
727,18575
728,18916
729,18917
730,18924
731,18926
732,18927
733,18929
734,18933
735,18934
736,18936
737,18940
738,18942
739,18943
740,18945
741,18958
742,18959
743,18960
744,18978
745,18989
746,19000
747,19002
748,19006
749,19007
750,19013
751,19016
752,19031
753,19033
754,19086
755,19427
756,19428
757,19437
758,19438
759,19440
760,19442
761,19444
762,19445
763,19447
764,19451
765,19453
766,19454
767,19469
768,19471
769,19489
770,19500
771,19511
772,19517
773,19518
774,19520
775,19524
776,19527
777,19542
778,19544
779,19562
780,19597
781,19938
782,19948
783,19949
784,19951
785,19953
786,19955
787,19956
788,19958
789,19962
790,19963
791,19964
792,19965
793,19979
794,19980
795,19981
796,19982
797,20000
798,20011
799,20026
800,20028
801,20029
802,20031
803,20035
804,20038
805,20053
806,20055
807,20108
808,20126
809,20128
810,20447
811,20449
812,20460
813,20462
814,20464
815,20466
816,20467
817,20469
818,20473
819,20474
820,20475
821,20488
822,20490
823,20491
824,20492
825,20493
826,20522
827,20539
828,20540
829,20542
830,20546
831,20547
832,20548
833,20564
834,20565
835,20566
836,20619
837,20637
838,20639
