minbound,shape,unit
84369,11,3
447804,10,3
0,8,3

IX,IY,IZ,value
3,8,7,-1

3,9,0,-1

3,9,1,-1

3,9,2,-1

3,9,3,-1

3,9,4,-1

3,9,5,-1

3,9,6,-1

3,9,7,-1

4,0,0,-1

4,0,1,-1

4,0,2,-1

4,0,3,-1

4,0,4,-1

4,0,5,-1

4,0,6,-1

4,0,7,-1

4,1,0,-1

4,1,1,0.253521

4,1,2,0.633803

4,1,3,0.816901

4,1,4,0.943662

4,1,5,1

4,1,6,1

4,1,7,1

4,2,0,-1

4,2,1,0.323944

4,2,2,0.605634

4,2,3,0.84507

4,2,4,0.943662

4,2,5,1

4,2,6,1

4,2,7,1

4,3,0,-1

4,3,1,0.352113

4,3,2,0.619718

4,3,3,0.830986

4,3,4,0.943662

4,3,5,1

4,3,6,1

4,3,7,1

4,4,0,-1

4,4,1,-1

4,4,2,-1

4,4,3,-1

4,4,4,-1

4,4,5,-1

4,4,6,-1

4,4,7,-1

4,5,0,-1

4,5,1,-1

4,5,2,-1

4,5,3,-1

4,5,4,-1

4,5,5,-1

4,5,6,-1

4,5,7,-1

4,6,0,-1

4,6,1,-1

4,6,2,-1

4,6,3,-1

4,6,4,-1

4,6,5,-1

4,6,6,-1

4,6,7,-1

4,7,0,-1

4,7,1,-1

4,7,2,-1

4,7,3,-1

4,7,4,-1

4,7,5,-1

4,7,6,-1

4,7,7,-1

4,8,0,-1

4,8,1,-1

4,8,2,-1

4,8,3,-1

4,8,4,-1

4,8,5,-1

4,8,6,-1

4,8,7,-1

4,9,0,-1

4,9,1,-1

4,9,2,-1

4,9,3,-1

4,9,4,-1

4,9,5,-1

4,9,6,-1

4,9,7,-1

5,0,0,-1

5,0,1,-1

5,0,2,-1

5,0,3,-1

5,0,4,-1

5,0,5,-1

5,0,6,-1

5,0,7,-1

5,1,0,-1

5,1,1,-1

5,1,2,-1

5,1,3,-1

5,1,4,-1

5,1,5,-1

5,1,6,-1

5,1,7,-1

5,2,0,-1

5,2,1,0.239437

5,2,2,0.605634

5,2,3,0.84507

5,2,4,0.943662

5,2,5,1

5,2,6,1

5,2,7,1

5,3,0,-1

5,3,1,0.295775

5,3,2,0.619718

5,3,3,0.802817

5,3,4,0.943662

5,3,5,1

5,3,6,1

5,3,7,1

5,4,0,-1

5,4,1,0.380282

5,4,2,0.619718

5,4,3,0.84507

5,4,4,0.943662

5,4,5,1

5,4,6,1

5,4,7,1

5,5,0,-1

5,5,1,0.366197

5,5,2,0.619718

5,5,3,0.830986

5,5,4,0.943662

5,5,5,1

5,5,6,1

5,5,7,1

5,6,0,-1

5,6,1,-1

5,6,2,-1

5,6,3,-1

5,6,4,-1

5,6,5,-1

5,6,6,-1

5,6,7,-1

5,7,0,-1

5,7,1,-1

5,7,2,-1

5,7,3,-1

5,7,4,-1

5,7,5,-1

5,7,6,-1

5,7,7,-1

5,8,0,-1

5,8,1,-1

5,8,2,-1

5,8,3,-1

5,8,4,-1

5,8,5,-1

5,8,6,-1

5,8,7,-1

5,9,0,-1

5,9,1,-1

5,9,2,-1

5,9,3,-1

5,9,4,-1

5,9,5,-1

5,9,6,-1

5,9,7,-1

6,0,0,-1

6,0,1,-1

6,0,2,-1

6,0,3,-1

6,0,4,-1

6,0,5,-1

6,0,6,-1

6,0,7,-1

6,1,0,-1

6,1,1,-1

6,1,2,-1

6,1,3,-1

6,1,4,-1

6,1,5,-1

6,1,6,-1

6,1,7,-1

6,2,0,-1

6,2,1,0.197183

6,2,2,0.577465

6,2,3,0.830986

6,2,4,0.943662

6,2,5,1

6,2,6,1

6,2,7,1

6,3,0,-1

