,0
710,2096
711,2097
712,2098
713,2102
714,2103
715,2104
716,2106
717,2107
718,2108
719,2110
720,2113
721,2114
722,2115
723,2116
724,2117
725,2118
726,2119
727,2121
728,2122
729,2123
730,2124
731,2125
732,2126
733,2127
734,2128
735,2129
736,2131
737,2132
738,2133
739,2136
740,2140
741,2141
742,2142
743,2145
744,2146
745,2149
746,2150
747,2151
748,2156
749,2157
750,2158
751,2160
752,2162
753,2163
754,2170
755,2171
756,2173
757,2176
758,2177
759,2183
760,2184
761,2185
762,2188
763,2189
764,2200
765,2201
766,2202
767,2206
768,2220
769,2221
770,2236
771,2237
772,2273
773,2281
774,2288
775,2295
776,2296
777,2297
778,2305
779,2306
780,2344
781,2345
782,2361
783,2362
784,2377
785,2378
786,2379
787,2394
788,2395
789,2408
790,2409
791,2420
792,2421
793,2422
794,2430
795,2431
796,2432
797,2433
798,2438
799,2439
800,2441
801,2445
802,2446
803,2448
804,2453
805,2454
806,2455
807,2456
808,2463
809,2464
810,2465
811,2466
812,2475
813,2487
814,2488
815,2501
816,2502
817,2503
818,2518
819,2519
820,2520
821,2534
822,2535
823,2536
824,2537
825,2538
826,2551
827,2552
828,2553
829,2566
830,2567
831,2578
832,2579
833,2580
834,2581
835,2582
836,2587
837,2588
838,2589
839,2590
840,2591
841,2592
842,2596
843,2597
844,2598
845,2599
846,2603
847,2604
848,2605
849,2606
850,2610
851,2611
852,2612
853,2613
854,2614
855,2615
856,2620
857,2621
858,2622
859,2623
860,2624
861,2625
862,2632
863,2633
864,2635
865,2645
866,2646
867,2659
868,2660
869,2661
870,2662
871,2675
872,2676
873,2677
874,2678
875,2679
876,2692
877,2693
878,2694
879,2696
880,2709
881,2710
882,2711
883,2712
884,2724
885,2725
886,2728
887,2735
888,2736
889,2737
890,2738
891,2739
892,2740
893,2745
894,2746
895,2747
896,2748
897,2749
898,2750
899,2751
900,2754
901,2755
902,2757
903,2758
904,2761
905,2762
906,2763
907,2764
908,2768
909,2769
910,2770
911,2771
912,2772
913,2778
914,2779
915,2781
916,2782
917,2783
918,2784
919,2790
920,2791
921,2793
922,2794
923,2802
924,2803
925,2804
