,0
0,7
1,8
2,9
3,10
4,24
5,25
6,39
7,50
8,51
9,60
10,61
11,62
12,68
13,69
14,70
15,75
16,76
17,77
18,78
19,83
20,84
21,85
22,86
23,93
24,94
25,105
26,118
27,132
28,133
29,134
30,148
31,149
32,150
33,151
34,165
35,166
36,167
37,168
38,182
39,183
40,197
41,209
42,219
43,227
44,234
45,235
46,241
47,242
48,243
49,251
50,252
51,263
52,276
53,290
54,291
55,292
56,306
57,307
58,308
59,309
60,324
61,325
62,341
63,355
64,392
65,409
66,410
67,421
68,434
69,448
70,449
71,465
72,466
73,483
74,607
75,624
76,1114
77,1115
78,1116
79,1131
80,1145
81,1146
82,1156
83,1157
84,1158
85,1159
86,1166
87,1167
88,1168
89,1169
90,1170
91,1174
92,1175
93,1176
94,1177
95,1180
96,1181
97,1182
98,1183
99,1184
100,1189
101,1190
102,1191
103,1192
104,1193
105,1199
106,1200
107,1201
108,1202
109,1203
110,1211
111,1212
112,1224
113,1239
114,1240
115,1255
116,1256
117,1257
118,1272
119,1273
120,1274
121,1289
122,1303
123,1315
124,1325
125,1326
126,1333
127,1334
128,1340
129,1341
130,1347
131,1348
132,1349
133,1350
134,1357
135,1358
136,1359
137,1369
138,1382
139,1397
140,1413
141,1414
142,1430
143,1431
144,1447
145,1461
146,1498
147,1506
148,1515
149,1516
150,1527
151,1540
152,1555
153,1571
154,1572
155,1589
156,1713
157,1730
158,2219
159,2220
160,2221
161,2222
162,2237
163,2251
164,2252
165,2262
166,2263
167,2272
168,2273
169,2274
170,2275
171,2280
172,2281
173,2282
174,2283
175,2287
176,2288
177,2289
178,2290
179,2295
180,2296
181,2297
182,2298
183,2299
184,2305
185,2306
186,2307
187,2308
188,2317
189,2318
190,2330
191,2344
192,2345
193,2346
194,2360
195,2361
196,2362
197,2363
198,2378
199,2379
200,2380
201,2395
202,2409
203,2421
204,2431
205,2432
206,2439
207,2440
208,2446
209,2447
210,2453
211,2454
212,2455
213,2463
214,2464
215,2475
216,2488
217,2502
218,2503
219,2518
220,2519
221,2520
222,2521
223,2536
224,2537
225,2553
226,2567
227,2604
228,2621
229,2622
230,2646
231,2661
232,2677
233,2678
234,2695
235,2711
236,2819
237,2836
238,3325
239,3326
240,3327
241,3328
242,3342
243,3343
244,3357
245,3368
246,3369
247,3378
248,3379
249,3380
250,3381
251,3386
252,3387
253,3388
254,3389
255,3393
256,3394
257,3395
258,3396
259,3401
260,3402
261,3403
262,3404
263,3411
264,3412
265,3413
266,3414
267,3423
268,3424
269,3436
270,3449
271,3450
272,3451
273,3452
274,3466
275,3467
276,3468
277,3469
278,3483
279,3484
280,3485
281,3486
282,3500
283,3501
284,3515
285,3527
286,3537
287,3545
288,3552
289,3553
290,3559
291,3560
292,3561
293,3569
294,3570
295,3581
296,3594
297,3608
298,3609
299,3610
300,3624
301,3625
302,3626
303,3627
304,3642
305,3643
306,3659
307,3673
308,3710
309,3718
310,3728
311,3739
312,3752
313,3766
314,3767
315,3783
316,3784
317,3801
318,3817
319,3925
320,3942
321,4432
322,4433
323,4434
324,4449
325,4463
326,4464
327,4474
328,4475
329,4476
330,4477
331,4478
332,4484
333,4485
334,4486
335,4487
336,4488
337,4489
338,4491
339,4492
340,4493
341,4494
342,4495
343,4496
344,4498
345,4499
346,4500
347,4501
348,4502
349,4503
350,4507
351,4508
352,4509
353,4510
354,4511
355,4517
356,4518
357,4519
358,4520
359,4521
360,4522
361,4529
362,4530
363,4531
364,4532
365,4542
366,4543
367,4557
368,4558
369,4573
370,4574
371,4575
372,4590
373,4591
374,4607
375,4621
376,4633
377,4634
378,4642
379,4643
